secretaria,denuncia,doacao,elogio,informacao,reclamacao,simplifique,solicitacao,sugestao,total
Secretaria de Obras e Servicos Publicos FECHAMENTO DE TERRENO PUBLICO,0,0,0,0,0,0,0,0,0
Secretaria de Obras e Servicos Publicos FIOS CAIDOS,0,0,0,0,0,0,3,0,3
Secretaria de Obras e Servicos Publicos FISCALIZACAO DE PROPAGANDA,0,0,0,0,0,0,6,0,6
Secretaria de Obras e Servicos Publicos GALHOS CAIDOS,0,0,0,0,0,0,1,0,1
Secretaria de Obras e Servicos Publicos GUIAS E SARJETAS MANUTENCAO,0,0,0,0,0,0,4,0,4
Secretaria de Obras e Servicos Publicos ILUMINACAO PONTES E PASSARELAS,0,0,0,0,0,0,5,0,5
Secretaria de Obras e Servicos Publicos ILUMINACAO ACESA RUAS E AVENIDAS,0,0,0,0,0,0,6,0,6
Secretaria de Obras e Servicos Publicos ILUMINACAO APAGADA RUAS E AVENIDAS,0,0,0,0,0,0,176,0,176
Secretaria de Obras e Servicos Publicos ILUMINACAO OSCILANTE RUAS E AVENIDAS,0,0,0,0,0,0,14,0,14
Secretaria de Obras e Servicos Publicos ILUMINACAO PRACAS,1,0,0,0,0,0,2,0,3
Secretaria de Obras e Servicos Publicos IMOVEL ABANDONADO PARTICULAR,0,0,0,0,1,0,16,0,17
Secretaria de Obras e Servicos Publicos LIMPEZA PUBLICA,0,0,0,0,0,0,4,0,4
Secretaria de Obras e Servicos Publicos LIXEIRAS E PLACAS DE LIXO,0,0,0,0,0,0,5,0,5
Secretaria de Obras e Servicos Publicos MANUTENCAO ELETRICA EM ESCOLA,0,0,0,0,0,0,0,0,0
Secretaria de Obras e Servicos Publicos Manutencao Eletrica em Escolas,0,0,0,0,0,0,0,0,0
Secretaria de Obras e Servicos Publicos MANUTENCOES PONTES E PASSARELAS,0,0,0,0,0,0,0,0,0
Secretaria de Obras e Servicos Publicos Outros,0,0,0,0,0,0,0,0,0
Secretaria de Obras e Servicos Publicos PODA DE ARVORE AREA URBANA,1,0,0,0,0,0,21,0,22
Secretaria de Obras e Servicos Publicos PODA DE ARVORE PRACAS,0,0,0,0,0,0,1,0,1
Secretaria de Obras e Servicos Publicos PODA DE ARVORE CESTO,0,0,0,0,0,0,0,0,0
Secretaria de Obras e Servicos Publicos PODA DE ARVORE ELEKTRO,0,0,0,0,0,0,0,0,0
Secretaria de Obras e Servicos Publicos PRACA MANUTENCAO BRINQUEDOS BEBEDOUROS E BANCOS,0,0,0,0,0,0,1,3,4
Secretaria de Obras e Servicos Publicos SARJETAO,0,0,0,0,0,0,1,0,1
Secretaria de Obras e Servicos Publicos TAMPAS E GRELHAS SOLTAS E AFUNDADAS,0,0,0,0,0,0,22,0,22
Secretaria de Obras e Servicos Publicos TAPA BURACO,0,0,0,0,0,0,11,0,11
Secretaria de Planejamento e Urbanismo OBRAS PARTICULARES IRREGULARES URB,0,0,0,0,1,0,13,0,14
Secretaria de Planejamento e Urbanismo OCUPACAO DE AREA PUBLICA,1,0,0,0,0,0,1,0,2
Secretaria de Planejamento e Urbanismo Outros,0,0,0,0,0,0,0,0,0
Secretaria de Planejamento e Urbanismo REGULARIZACAO FUNDIARIA,0,0,0,0,0,0,0,0,0
Secretaria de Protecao Animal ANIMAIS MAUS TRATOS,67,0,0,0,0,0,0,0,67
Secretaria de Protecao Animal ANIMAIS DE GRANDE PORTE,0,0,0,0,0,0,20,0,20
Secretaria de Protecao Animal Outros,0,0,0,0,0,0,0,0,0
Secretaria de Saude ACUMULADORES A PARTICULAR,0,0,0,0,0,0,7,0,7
Secretaria de Saude Alimentos Estragados,1,0,0,0,0,0,0,0,1
Secretaria de Saude Alimentos Mal Armazenados,1,0,0,0,0,0,0,0,1
Secretaria de Saude ALIMENTOS OU MEDICAMENTOS ESTRAGADOS,0,0,0,0,0,0,0,0,0
Secretaria de Saude ANIMAIS PEC OU SINAN,0,0,0,0,0,0,5,0,5
Secretaria de Saude ANIMAIS POMBOS E MORCEGOS,0,0,0,0,0,0,1,0,1
Secretaria de Saude DENUNCIA MOSQUITO DA DENGUE,5,0,0,0,0,0,14,0,19
Secretaria de Saude Denuncia Ouvidoria Saude,12,0,0,0,0,0,0,0,12
Secretaria de Saude Elogio Ouvidoria Saude,0,0,0,0,0,0,0,0,0
Secretaria de Saude Estabelecimentos Clandestinos,1,0,0,0,0,0,0,0,1
Secretaria de Saude Informacao Ouvidoria Saude,0,0,0,0,0,0,0,0,0
Secretaria de Saude Medicamentos Mal Armazenados,0,0,0,0,0,0,0,0,0
Secretaria de Saude Medicamentos Vencidos,0,0,0,0,0,0,0,0,0
Secretaria de Saude Outros,0,0,0,1,1,0,1,0,3
Secretaria de Saude PROBLEMAS DE HIGIENE,0,0,0,0,0,0,0,0,0
Secretaria de Saude Problemas de Higiene em Area Externa exceto criacao de animais,0,0,0,0,0,0,0,0,0
Secretaria de Saude Problemas de Higiene em Estabelecimentos Diversos,0,0,0,0,0,0,4,0,4
Secretaria de Saude Reclamacao Ouvidoria Saude,0,0,0,0,3,0,0,1,4
Secretaria de Saude SAUDE DO TRABALHADOR,0,0,0,0,0,0,8,0,8
Secretaria de Saude Solicitacao Ouvidoria Saude,0,0,0,0,0,0,0,0,0
Secretaria de Saude Sugestao Ouvidoria Saude,0,0,0,0,0,0,1,0,1
Secretaria de Seguranca Publica e Defesa Civil DEMANDAS PARA COMANDO,16,0,0,0,4,0,27,0,47
Secretaria de Seguranca Publica e Defesa Civil Denuncia Guarda Municipal,6,0,0,0,0,0,0,0,6
Secretaria de Seguranca Publica e Defesa Civil Elogio Guarda Municipal,0,0,0,0,0,0,0,0,0
Secretaria de Seguranca Publica e Defesa Civil Informacao Guarda Municipal,0,0,0,1,0,0,0,0,1
Secretaria de Seguranca Publica e Defesa Civil Moradores de Rua e Pedintes Defesa Civil,0,0,0,0,0,0,6,0,6
Secretaria de Seguranca Publica e Defesa Civil Outros,0,0,0,0,0,0,0,0,0
Secretaria de Seguranca Publica e Defesa Civil Reclamacao Guarda Municipal,0,0,0,0,0,0,0,0,0
Secretaria de Seguranca Publica e Defesa Civil Solicitacao Guarda Municipal,0,0,0,0,0,0,1,0,1
Secretaria de Seguranca Publica e Defesa Civil Sugestao Guarda Municipal,0,0,0,0,0,0,0,0,0
Secretaria de Tecnologia e Eficiencia Integracao eOuve x 1Doc,0,0,0,0,0,0,0,0,0
Secretaria de Tecnologia e Eficiencia Teste,0,0,0,0,0,0,0,0,0
Secretaria dos Transportes e Mobilidade Urbana CALCADA PARTICULAR BURACO,0,0,0,0,0,0,3,0,3
Secretaria dos Transportes e Mobilidade Urbana CALCADA PARTICULAR CONSTRUCAO,0,0,0,0,1,0,5,0,6
Secretaria dos Transportes e Mobilidade Urbana CALCADA PARTICULAR OBSTACULO,0,0,0,0,0,0,53,1,54
Secretaria dos Transportes e Mobilidade Urbana CARRO ABANDONADO,0,0,0,0,0,0,43,0,43
Secretaria dos Transportes e Mobilidade Urbana MANUTENCAO SINALIZACAO DE TRANSITO PLACAS,0,0,0,0,0,0,60,0,60
Secretaria dos Transportes e Mobilidade Urbana MANUTENCAO SINALIZACAO DE TRANSITO SOLO,0,0,0,0,0,0,11,0,11
Secretaria dos Transportes e Mobilidade Urbana Outros,0,0,0,0,0,0,0,0,0
Secretaria dos Transportes e Mobilidade Urbana SUGESTAO DE TRANSITO,2,0,0,0,3,0,1,24,30
Secretaria dos Transportes e Mobilidade Urbana TRANSPORTE COLETIVO ABRIGO,0,0,0,0,0,0,1,0,1
Secretaria dos Transportes e Mobilidade Urbana TRANSPORTE COLETIVO HORARIOS,0,0,0,0,0,0,5,0,5
Secretaria dos Transportes e Mobilidade Urbana TRANSPORTE COLETIVO ONIBUS,0,0,0,0,0,0,2,0,2
Secretaria dos Transportes e Mobilidade Urbana TRANSPORTE COLETIVO RECLAMACAO,0,0,0,0,10,0,0,0,10
