Assunto,Aberto,Agendado,Cancelado,Concluído,Em andamento,Pendente,Total
Secretaria de Comunicação - RECLAMAÇÃO OUVIDORIA,0,0,3,113,4,0,120
Secretaria de Comunicação - SUGESTÃO OUVIDORIA,0,0,2,35,0,0,37
Secretaria de Esportes e Lazer - SUGESTÃO PARA ESPORTES,4,0,1,93,1,0,99
Secretaria de Fazenda - ALVARÁ DE FUNCIONAMENTO,37,0,4,454,0,0,495
Secretaria de Fazenda - ALVARÁ DE TRAILERS,0,0,0,43,0,0,43
Secretaria de Fazenda - FISCALIZAÇÃO DE OUTDOOR,0,0,0,12,0,0,12
Secretaria de Fazenda - Outros,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento - ÁRVORE EM ÁREA PÚBLICA,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento - COMÉRCIO DE CEROL,2,0,0,0,0,0,2
Secretaria de Meio Ambiente e Saneamento - DENÚNCIA DE PODA E REMOÇÃO IRREGULAR E DESMATAMENTO DE ÁRVORES,9,0,0,59,0,0,68
Secretaria de Meio Ambiente e Saneamento - DESPERDÍCIO DE ÁGUA,0,0,0,51,6,0,57
Secretaria de Meio Ambiente e Saneamento - FISCALIZAÇÃO - MA,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento - OCUPAÇÃO DE ÁREAS VERDES,17,0,0,49,1,1,68
Secretaria de Meio Ambiente e Saneamento - OCUPAÇÃO IRREGULAR DE ÁREA VERDE,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento - Outros,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento - PLANTIO DE ÁRVORE,0,0,0,87,22,0,109
Secretaria de Meio Ambiente e Saneamento - Poda de Árvores,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento - POLUIÇÃO AMBIENTAL,25,0,2,100,5,0,132
Secretaria de Meio Ambiente e Saneamento - PRAÇA CAPINAÇÃO,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento - PRAÇA LIMPEZA E VARRIÇÃO,4,0,0,1,0,0,5
Secretaria de Meio Ambiente e Saneamento - PRAÇAS/BOSQUES/PARQUES ESPECÍFICOS,45,0,0,11,1,1,58
Secretaria de Meio Ambiente e Saneamento - QUEIMADA EM LOTES URBANOS,5,0,0,18,0,0,23
Secretaria de Meio Ambiente e Saneamento - VAZAMENTO DE FOSSA OU LANÇAMENTO IRREGULAR DE ESGOTO,5,0,0,5,0,0,10
Secretaria de Meio Ambiente e Saneamento - VISTORIA DE ÁRVORES EM ÁREAS PÚBLICAS,9,0,0,71,2,0,82
Secretaria de Obras e Serviços Públicos - AFUNDAMENTO DE ASFALTO,48,0,10,85,28,0,171
Secretaria de Obras e Serviços Públicos - ÁRVORE CAÍDA,41,0,0,54,0,0,95
Secretaria de Obras e Serviços Públicos - BUEIROS - DESENTUPIMENTO,23,0,0,38,9,0,70
Secretaria de Obras e Serviços Públicos - BUEIROS - LIMPEZA,32,0,0,130,5,0,167
Secretaria de Obras e Serviços Públicos - Buraco na rua,0,0,0,0,0,0,0
Secretaria de Obras e Serviços Públicos - CALÇADA PÚBLICA - BURACO,24,0,1,9,38,0,72
Secretaria de Obras e Serviços Públicos - CALÇADA PÚBLICA - CONSTRUÇÃO,17,0,0,5,33,0,55
Secretaria de Obras e Serviços Públicos - CALÇADA PÚBLICA - LIMPEZA,10,0,1,31,58,0,100
Secretaria de Obras e Serviços Públicos - CAPINAÇÃO DE ÁREA PÚBLICA,16,0,7,369,552,0,944
Secretaria de Obras e Serviços Públicos - CAPINAÇÃO DE PRAÇA,3,0,1,131,260,0,395
Secretaria de Obras e Serviços Públicos - Código de Posturas - Demandas Internas,15,0,0,12,9,0,36
Secretaria de Obras e Serviços Públicos - CONSERTO DE CALÇADAS - APÓS REMOÇÃO REALIZADA PELA PREFEITURA,28,0,0,5,31,0,64
Secretaria de Obras e Serviços Públicos - Demandas Internas - MANUTENÇÃO E LIMPEZA DE ESTRADAS RURAIS,24,0,0,3,14,0,41
Secretaria de Obras e Serviços Públicos - Desassoreamento de Córregos,6,0,0,1,0,0,7
Secretaria de Obras e Serviços Públicos - ECOPONTO,14,0,0,5,2,0,21
Secretaria de Obras e Serviços Públicos - ENTULHO - REMOÇÃO,54,0,9,167,15,14,259
Secretaria de Obras e Serviços Públicos - FECHAMENTO DE TERRENO / CASA,4,0,0,22,0,0,26
Secretaria de Obras e Serviços Públicos - FECHAMENTO DE TERRENO PÚBLICO,6,0,0,2,0,0,8
Secretaria de Obras e Serviços Públicos - FIOS CAÍDOS,46,0,0,36,0,0,82
Secretaria de Obras e Serviços Públicos - FISCALIZAÇÃO DE PROPAGANDA,15,0,0,3,7,0,25
Secretaria de Obras e Serviços Públicos - GALHOS CAÍDOS,31,0,0,107,1,0,139
Secretaria de Obras e Serviços Públicos - GUIAS E SARJETAS - MANUTENÇÃO,56,0,2,10,5,0,73
Secretaria de Obras e Serviços Públicos - ILUMINAÇÃO - PONTES E PASSARELAS,0,0,7,48,2,0,57
Secretaria de Obras e Serviços Públicos - ILUMINAÇÃO ACESA - RUAS E AVENIDAS,0,0,6,201,10,5,222
Secretaria de Obras e Serviços Públicos - ILUMINAÇÃO APAGADA - RUAS E AVENIDAS,4,0,104,7924,348,33,8413
Secretaria de Obras e Serviços Públicos - ILUMINAÇÃO OSCILANTE - RUAS E AVENIDAS,1,0,8,539,17,1,566
Secretaria de Obras e Serviços Públicos - ILUMINAÇÃO PRAÇAS,1,0,20,652,31,25,729
Secretaria de Obras e Serviços Públicos - IMÓVEL ABANDONADO - PARTICULAR,56,0,1,156,9,0,222
Secretaria de Obras e Serviços Públicos - LIMPEZA DE TERRENO PARTICULAR,92,0,8,777,16,0,893
Secretaria de Obras e Serviços Públicos - LIMPEZA PÚBLICA,21,0,8,214,0,0,243
Secretaria de Obras e Serviços Públicos - LIXEIRAS E PLACAS DE LIXO,31,0,0,0,10,0,41
Secretaria de Obras e Serviços Públicos - MANUTENÇÃO ELÉTRICA EM ESCOLA,0,0,2,37,1,0,40
Secretaria de Obras e Serviços Públicos - Manutenção Elétrica em Escolas,0,0,0,0,0,0,0
Secretaria de Obras e Serviços Públicos - MANUTENÇÕES - PONTES E PASSARELAS,26,0,0,4,0,0,30
Secretaria de Obras e Serviços Públicos - Outros,0,0,0,0,0,0,0
Secretaria de Obras e Serviços Públicos - PODA DE ÁRVORE - ÁREA URBANA,156,0,8,453,536,0,1153
Secretaria de Obras e Serviços Públicos - PODA DE ÁRVORE - PRAÇAS,4,0,0,26,32,0,62
Secretaria de Obras e Serviços Públicos - PODA DE ÁRVORE CESTO,0,0,0,0,0,0,0
Secretaria de Obras e Serviços Públicos - PODA DE ÁRVORE ELEKTRO,0,0,0,0,0,0,0
Secretaria de Obras e Serviços Públicos - POLUIÇÃO SONORA - ESTABELECIMENTOS,298,0,0,146,29,0,473
Secretaria de Obras e Serviços Públicos - PRAÇA - MANUTENÇÃO BRINQUEDOS - BEBEDOUROS E BANCOS,115,0,0,0,0,0,115
Secretaria de Obras e Serviços Públicos - SARJETÃO,33,0,0,4,5,0,42
Secretaria de Obras e Serviços Públicos - TAMPAS E GRELHAS SOLTAS E AFUNDADAS,33,0,3,61,1,0,98
Secretaria de Obras e Serviços Públicos - TAPA BURACO,80,0,8,413,3,0,504
Secretaria de Planejamento e Urbanismo - OBRAS PARTICULARES IRREGULARES - URB,15,0,0,155,1,0,171
Secretaria de Planejamento e Urbanismo - OCUPAÇÃO DE ÁREA PÚBLICA,2,0,0,29,1,0,32
Secretaria de Planejamento e Urbanismo - Outros,0,0,0,0,0,0,0
Secretaria de Planejamento e Urbanismo - REGULARIZAÇÃO FUNDIÁRIA,5,0,0,5,2,0,12
Secretaria de Proteção Animal - ANIMAIS - MAUS TRATOS,0,0,6,1339,72,12,1429
Secretaria de Proteção Animal - ANIMAIS DE GRANDE PORTE,0,0,1,195,11,0,207
Secretaria de Proteção Animal - Outros,0,0,0,0,0,0,0
Secretaria de Saúde - ACUMULADORES - A. PARTICULAR,0,0,2,164,9,0,175
Secretaria de Saúde - Alimentos Estragados,1,0,0,39,13,0,53
Secretaria de Saúde - Alimentos Mal Armazenados,2,0,0,15,3,0,20
Secretaria de Saúde - ALIMENTOS OU MEDICAMENTOS ESTRAGADOS,0,0,0,0,0,0,0
Secretaria de Saúde - ANIMAIS - PEC. OU SINAN,1,0,3,201,22,0,227
Secretaria de Saúde - ANIMAIS - POMBOS E MORCEGOS,0,0,0,60,5,0,65
Secretaria de Saúde - DENÚNCIA - MOSQUITO DA DENGUE,1,0,1,292,15,0,309
Secretaria de Saúde - Denúncia - Ouvidoria Saúde,15,0,0,47,17,0,79
Secretaria de Saúde - Elogio - Ouvidoria Saúde,5,0,0,1,1,0,7
Secretaria de Saúde - Estabelecimentos Clandestinos,6,0,0,19,8,0,33
Secretaria de Saúde - Informação - Ouvidoria Saúde,0,0,0,0,0,0,0
Secretaria de Saúde - Medicamentos Mal Armazenados,0,0,0,3,0,0,3
Secretaria de Saúde - Medicamentos Vencidos,0,0,0,3,1,0,4
Secretaria de Saúde - Outros,0,0,0,6,2,0,8
Secretaria de Saúde - PROBLEMAS DE HIGIENE,0,0,0,0,0,0,0
Secretaria de Saúde - Problemas de Higiene em Área Externa (exceto criação de animais),1,0,0,4,0,0,5
Secretaria de Saúde - Problemas de Higiene em Estabelecimentos Diversos,8,0,1,40,14,0,63
Secretaria de Saúde - Reclamação - Ouvidoria Saúde,17,0,0,63,11,0,91
Secretaria de Saúde - SAÚDE DO TRABALHADOR,2,0,1,20,2,0,25
Secretaria de Saúde - Solicitação - Ouvidoria Saúde,0,0,0,0,0,0,0
Secretaria de Saúde - Sugestão - Ouvidoria Saúde,3,0,1,9,0,0,13
Secretaria de Segurança Pública e Defesa Civil - DEMANDAS PARA COMANDO,0,0,0,386,1,0,387
Secretaria de Segurança Pública e Defesa Civil - Denúncia - Guarda Municipal,0,0,0,46,0,0,46
Secretaria de Segurança Pública e Defesa Civil - Elogio - Guarda Municipal,0,0,0,2,0,0,2
Secretaria de Segurança Pública e Defesa Civil - Informação - Guarda Municipal,0,0,0,3,0,0,3
Secretaria de Segurança Pública e Defesa Civil - Moradores de Rua e Pedintes - Defesa Civil,0,0,0,115,0,0,115
Secretaria de Segurança Pública e Defesa Civil - Outros,0,0,0,0,0,0,0
Secretaria de Segurança Pública e Defesa Civil - Reclamação - Guarda Municipal,0,0,0,11,0,0,11
Secretaria de Segurança Pública e Defesa Civil - Solicitação - Guarda Municipal,0,0,0,22,0,0,22
Secretaria de Segurança Pública e Defesa Civil - Sugestão - Guarda Municipal,0,0,0,0,0,0,0
Secretaria de Tecnologia e Eficiência - Integração eOuve x 1Doc,0,0,31,16,2,0,49
Secretaria de Tecnologia e Eficiência - Teste,0,0,1,1,0,0,2
Secretaria dos Transportes e Mobilidade Urbana - CALÇADA PARTICULAR - BURACO,1,0,0,23,2,0,26
Secretaria dos Transportes e Mobilidade Urbana - CALÇADA PARTICULAR - CONSTRUÇÃO,0,0,0,39,0,0,39
Secretaria dos Transportes e Mobilidade Urbana - CALÇADA PARTICULAR - OBSTÁCULO,0,0,0,234,22,4,260
Secretaria dos Transportes e Mobilidade Urbana - CARRO ABANDONADO,1,0,0,299,49,0,349
Secretaria dos Transportes e Mobilidade Urbana - MANUTENÇÃO- SINALIZAÇÃO DE TRÂNSITO - PLACAS,1,0,0,141,11,0,153
Secretaria dos Transportes e Mobilidade Urbana - MANUTENÇÃO- SINALIZAÇÃO DE TRÂNSITO - SOLO,0,0,0,193,23,1,217
Secretaria dos Transportes e Mobilidade Urbana - Outros,0,0,0,0,0,0,0
Secretaria dos Transportes e Mobilidade Urbana - SUGESTÃO DE TRÂNSITO,1,0,1,422,50,7,481
Secretaria dos Transportes e Mobilidade Urbana - TRANSPORTE COLETIVO - ABRIGO,0,0,0,54,5,1,60
Secretaria dos Transportes e Mobilidade Urbana - TRANSPORTE COLETIVO - HORÁRIOS,1,0,0,17,2,0,20
Secretaria dos Transportes e Mobilidade Urbana - TRANSPORTE COLETIVO - ÔNIBUS,0,0,0,27,0,0,27
Secretaria dos Transportes e Mobilidade Urbana - TRANSPORTE COLETIVO - RECLAMAÇÃO,1,0,0,67,7,0,75
