assunto,aberto,agendado,cancelado,concluido,em_andamento,pendente,total
Secretaria de Meio Ambiente e Saneamento DESPERDICIO DE AGUA,0,0,0,51,6,0,57
Secretaria de Meio Ambiente e Saneamento FISCALIZACAO MA,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento OCUPACAO DE AREAS VERDES,17,0,0,49,1,1,68
Secretaria de Meio Ambiente e Saneamento OCUPACAO IRREGULAR DE AREA VERDE,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento Outros,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento PLANTIO DE ARVORE,0,0,0,87,22,0,109
Secretaria de Meio Ambiente e Saneamento Poda de Arvores,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento POLUICAO AMBIENTAL,25,0,2,100,5,0,132
Secretaria de Meio Ambiente e Saneamento PRACA CAPINACAO,0,0,0,0,0,0,0
Secretaria de Meio Ambiente e Saneamento PRACA LIMPEZA E VARRICAO,4,0,0,1,0,0,5
Secretaria de Meio Ambiente e Saneamento PRACASBOSQUESPARQUES ESPECIFICOS,45,0,0,11,1,1,58
Secretaria de Meio Ambiente e Saneamento QUEIMADA EM LOTES URBANOS,5,0,0,18,0,0,23
Secretaria de Meio Ambiente e Saneamento VAZAMENTO DE FOSSA OU LANCAMENTO IRREGULAR DE ESGOTO,5,0,0,5,0,0,10
Secretaria de Meio Ambiente e Saneamento VISTORIA DE ARVORES EM AREAS PUBLICAS,9,0,0,71,2,0,82
Secretaria de Obras e Servicos Publicos AFUNDAMENTO DE ASFALTO,48,0,10,85,28,0,171
Secretaria de Obras e Servicos Publicos ARVORE CAIDA,41,0,0,54,0,0,95
Secretaria de Obras e Servicos Publicos BUEIROS DESENTUPIMENTO,23,0,0,38,9,0,70
Secretaria de Obras e Servicos Publicos BUEIROS LIMPEZA,32,0,0,130,5,0,167
Secretaria de Obras e Servicos Publicos Buraco na rua,0,0,0,0,0,0,0
Secretaria de Obras e Servicos Publicos CALCADA PUBLICA BURACO,24,0,1,9,38,0,72
Secretaria de Obras e Servicos Publicos CALCADA PUBLICA CONSTRUCAO,17,0,0,5,33,0,55
Secretaria de Obras e Servicos Publicos CALCADA PUBLICA LIMPEZA,10,0,1,31,58,0,100
Secretaria de Obras e Servicos Publicos CAPINACAO DE AREA PUBLICA,16,0,7,369,552,0,944
Secretaria de Obras e Servicos Publicos CAPINACAO DE PRACA,3,0,1,131,260,0,395
Secretaria de Obras e Servicos Publicos Codigo de Posturas Demandas Internas,15,0,0,12,9,0,36
Secretaria de Obras e Servicos Publicos CONSERTO DE CALCADAS APOS REMOCAO REALIZADA PELA PREFEITURA,28,0,0,5,31,0,64
Secretaria de Obras e Servicos Publicos Demandas Internas MANUTENCAO E LIMPEZA DE ESTRADAS RURAIS,24,0,0,3,14,0,41
Secretaria de Obras e Servicos Publicos Desassoreamento de Corregos,6,0,0,1,0,0,7
Secretaria de Obras e Servicos Publicos ECOPONTO,14,0,0,5,2,0,21
Secretaria de Obras e Servicos Publicos ENTULHO REMOCAO,54,0,9,167,15,14,259
Secretaria de Obras e Servicos Publicos FECHAMENTO DE TERRENO CASA,4,0,0,22,0,0,26
Secretaria de Obras e Servicos Publicos FECHAMENTO DE TERRENO PUBLICO,6,0,0,2,0,0,8
Secretaria de Obras e Servicos Publicos FIOS CAIDOS,46,0,0,36,0,0,82
Secretaria de Obras e Servicos Publicos FISCALIZACAO DE PROPAGANDA,15,0,0,3,7,0,25
Secretaria de Obras e Servicos Publicos GALHOS CAIDOS,31,0,0,107,1,0,139
Secretaria de Obras e Servicos Publicos GUIAS E SARJETAS MANUTENCAO,56,0,2,10,5,0,73
Secretaria de Obras e Servicos Publicos ILUMINACAO PONTES E PASSARELAS,0,0,7,48,2,0,57
Secretaria de Obras e Servicos Publicos ILUMINACAO ACESA RUAS E AVENIDAS,0,0,6,201,10,5,222
Secretaria de Obras e Servicos Publicos ILUMINACAO APAGADA RUAS E AVENIDAS,4,0,104,7924,348,33,8413
Secretaria de Obras e Servicos Publicos ILUMINACAO OSCILANTE RUAS E AVENIDAS,1,0,8,539,17,1,566
Secretaria de Obras e Servicos Publicos ILUMINACAO PRACAS,1,0,20,652,31,25,729
Secretaria de Obras e Servicos Publicos IMOVEL ABANDONADO PARTICULAR,56,0,1,156,9,0,222
Secretaria de Obras e Servicos Publicos LIMPEZA DE TERRENO PARTICULAR,92,0,8,777,16,0,893
Secretaria de Obras e Servicos Publicos LIMPEZA PUBLICA,21,0,8,214,0,0,243
Secretaria de Obras e Servicos Publicos LIXEIRAS E PLACAS DE LIXO,31,0,0,0,10,0,41
Secretaria de Obras e Servicos Publicos MANUTENCAO ELETRICA EM ESCOLA,0,0,2,37,1,0,40
Secretaria de Obras e Servicos Publicos Manutencao Eletrica em Escolas,0,0,0,0,0,0,0
Secretaria de Obras e Servicos Publicos MANUTENCOES PONTES E PASSARELAS,26,0,0,4,0,0,30
Secretaria de Obras e Servicos Publicos Outros,0,0,0,0,0,0,0
Secretaria de Obras e Servicos Publicos PODA DE ARVORE AREA URBANA,156,0,8,453,536,0,1153
Secretaria de Obras e Servicos Publicos PODA DE ARVORE PRACAS,4,0,0,26,32,0,62
Secretaria de Obras e Servicos Publicos PODA DE ARVORE CESTO,0,0,0,0,0,0,0
Secretaria de Obras e Servicos Publicos PODA DE ARVORE ELEKTRO,0,0,0,0,0,0,0
Secretaria de Obras e Servicos Publicos POLUICAO SONORA ESTABELECIMENTOS,298,0,0,146,29,0,473
Secretaria de Obras e Servicos Publicos PRACA MANUTENCAO BRINQUEDOS BEBEDOUROS E BANCOS,115,0,0,0,0,0,115
Secretaria de Obras e Servicos Publicos SARJETAO,33,0,0,4,5,0,42
Secretaria de Obras e Servicos Publicos TAMPAS E GRELHAS SOLTAS E AFUNDADAS,33,0,3,61,1,0,98
Secretaria de Obras e Servicos Publicos TAPA BURACO,80,0,8,413,3,0,504
Secretaria de Planejamento e Urbanismo OBRAS PARTICULARES IRREGULARES URB,15,0,0,155,1,0,171
Secretaria de Planejamento e Urbanismo OCUPACAO DE AREA PUBLICA,2,0,0,29,1,0,32
Secretaria de Planejamento e Urbanismo Outros,0,0,0,0,0,0,0
Secretaria de Planejamento e Urbanismo REGULARIZACAO FUNDIARIA,5,0,0,5,2,0,12
Secretaria de Protecao Animal ANIMAIS MAUS TRATOS,0,0,6,1339,72,12,1429
Secretaria de Protecao Animal ANIMAIS DE GRANDE PORTE,0,0,1,195,11,0,207
Secretaria de Protecao Animal Outros,0,0,0,0,0,0,0
Secretaria de Saude ACUMULADORES A PARTICULAR,0,0,2,164,9,0,175
Secretaria de Saude Alimentos Estragados,1,0,0,39,13,0,53
Secretaria de Saude Alimentos Mal Armazenados,2,0,0,15,3,0,20
Secretaria de Saude ALIMENTOS OU MEDICAMENTOS ESTRAGADOS,0,0,0,0,0,0,0
Secretaria de Saude ANIMAIS PEC OU SINAN,1,0,3,201,22,0,227
Secretaria de Saude ANIMAIS POMBOS E MORCEGOS,0,0,0,60,5,0,65
Secretaria de Saude DENUNCIA MOSQUITO DA DENGUE,1,0,1,292,15,0,309
Secretaria de Saude Denuncia Ouvidoria Saude,15,0,0,47,17,0,79
Secretaria de Saude Elogio Ouvidoria Saude,5,0,0,1,1,0,7
Secretaria de Saude Estabelecimentos Clandestinos,6,0,0,19,8,0,33
Secretaria de Saude Informacao Ouvidoria Saude,0,0,0,0,0,0,0
Secretaria de Saude Medicamentos Mal Armazenados,0,0,0,3,0,0,3
Secretaria de Saude Medicamentos Vencidos,0,0,0,3,1,0,4
Secretaria de Saude Outros,0,0,0,6,2,0,8
Secretaria de Saude PROBLEMAS DE HIGIENE,0,0,0,0,0,0,0
Secretaria de Saude Problemas de Higiene em Area Externa exceto criacao de animais,1,0,0,4,0,0,5
Secretaria de Saude Problemas de Higiene em Estabelecimentos Diversos,8,0,1,40,14,0,63
Secretaria de Saude Reclamacao Ouvidoria Saude,17,0,0,63,11,0,91
Secretaria de Saude SAUDE DO TRABALHADOR,2,0,1,20,2,0,25
Secretaria de Saude Solicitacao Ouvidoria Saude,0,0,0,0,0,0,0
Secretaria de Saude Sugestao Ouvidoria Saude,3,0,1,9,0,0,13
Secretaria de Seguranca Publica e Defesa Civil DEMANDAS PARA COMANDO,0,0,0,386,1,0,387
Secretaria de Seguranca Publica e Defesa Civil Denuncia Guarda Municipal,0,0,0,46,0,0,46
Secretaria de Seguranca Publica e Defesa Civil Elogio Guarda Municipal,0,0,0,2,0,0,2
Secretaria de Seguranca Publica e Defesa Civil Informacao Guarda Municipal,0,0,0,3,0,0,3
Secretaria de Seguranca Publica e Defesa Civil Moradores de Rua e Pedintes Defesa Civil,0,0,0,115,0,0,115
Secretaria de Seguranca Publica e Defesa Civil Outros,0,0,0,0,0,0,0
Secretaria de Seguranca Publica e Defesa Civil Reclamacao Guarda Municipal,0,0,0,11,0,0,11
Secretaria de Seguranca Publica e Defesa Civil Solicitacao Guarda Municipal,0,0,0,22,0,0,22
Secretaria de Seguranca Publica e Defesa Civil Sugestao Guarda Municipal,0,0,0,0,0,0,0
Secretaria de Tecnologia e Eficiencia Integracao eOuve x 1Doc,0,0,31,16,2,0,49
Secretaria de Tecnologia e Eficiencia Teste,0,0,1,1,0,0,2
Secretaria dos Transportes e Mobilidade Urbana CALCADA PARTICULAR BURACO,1,0,0,23,2,0,26
Secretaria dos Transportes e Mobilidade Urbana CALCADA PARTICULAR CONSTRUCAO,0,0,0,39,0,0,39
Secretaria dos Transportes e Mobilidade Urbana CALCADA PARTICULAR OBSTACULO,0,0,0,234,22,4,260
Secretaria dos Transportes e Mobilidade Urbana CARRO ABANDONADO,1,0,0,299,49,0,349
Secretaria dos Transportes e Mobilidade Urbana MANUTENCAO SINALIZACAO DE TRANSITO PLACAS,1,0,0,141,11,0,153
Secretaria dos Transportes e Mobilidade Urbana MANUTENCAO SINALIZACAO DE TRANSITO SOLO,0,0,0,193,23,1,217
Secretaria dos Transportes e Mobilidade Urbana Outros,0,0,0,0,0,0,0
Secretaria dos Transportes e Mobilidade Urbana SUGESTAO DE TRANSITO,1,0,1,422,50,7,481
Secretaria dos Transportes e Mobilidade Urbana TRANSPORTE COLETIVO ABRIGO,0,0,0,54,5,1,60
Secretaria dos Transportes e Mobilidade Urbana TRANSPORTE COLETIVO HORARIOS,1,0,0,17,2,0,20
Secretaria dos Transportes e Mobilidade Urbana TRANSPORTE COLETIVO ONIBUS,0,0,0,27,0,0,27
Secretaria dos Transportes e Mobilidade Urbana TRANSPORTE COLETIVO RECLAMACAO,1,0,0,67,7,0,75
